Mobility_key,province,subregion,metro-area,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
562,Ontario,Toronto Division,Greater Toronto Area,-31.0,-15.0,49.0,-56.0,-54.0,16.0
563,Ontario,Toronto Division,Greater Toronto Area,-27.0,-9.0,93.0,-53.0,-52.0,15.0
564,Ontario,Toronto Division,Greater Toronto Area,-27.0,-11.0,92.0,-53.0,-52.0,15.0
565,Ontario,Toronto Division,Greater Toronto Area,-25.0,-4.0,106.0,-52.0,-51.0,15.0
566,Ontario,Toronto Division,Greater Toronto Area,-29.0,-8.0,87.0,-50.0,-50.0,14.0
567,Ontario,Toronto Division,Greater Toronto Area,-27.0,-11.0,141.0,-30.0,-9.0,2.0
568,Ontario,Toronto Division,Greater Toronto Area,-26.0,-14.0,122.0,-33.0,-10.0,0.0
569,Ontario,Toronto Division,Greater Toronto Area,-28.0,-10.0,86.0,-54.0,-52.0,15.0
570,Ontario,Toronto Division,Greater Toronto Area,-26.0,-7.0,103.0,-52.0,-52.0,14.0
571,Ontario,Toronto Division,Greater Toronto Area,-28.0,-12.0,49.0,-54.0,-51.0,16.0
572,Ontario,Toronto Division,Greater Toronto Area,-26.0,-5.0,80.0,-52.0,-50.0,15.0
573,Ontario,Toronto Division,Greater Toronto Area,-28.0,-8.0,79.0,-49.0,-50.0,14.0
574,Ontario,Toronto Division,Greater Toronto Area,-26.0,-8.0,103.0,-32.0,-10.0,3.0
575,Ontario,Toronto Division,Greater Toronto Area,-22.0,-11.0,142.0,-28.0,-9.0,0.0
576,Ontario,Toronto Division,Greater Toronto Area,-24.0,-7.0,92.0,-51.0,-52.0,13.0
577,Ontario,Toronto Division,Greater Toronto Area,-25.0,-6.0,95.0,-50.0,-52.0,14.0
578,Ontario,Toronto Division,Greater Toronto Area,-25.0,-8.0,62.0,-53.0,-52.0,15.0
579,Ontario,Toronto Division,Greater Toronto Area,-23.0,-4.0,92.0,-50.0,-50.0,14.0
580,Ontario,Toronto Division,Greater Toronto Area,-24.0,-5.0,82.0,-48.0,-50.0,13.0
581,Ontario,Toronto Division,Greater Toronto Area,-26.0,-11.0,100.0,-33.0,-12.0,2.0
582,Ontario,Toronto Division,Greater Toronto Area,-19.0,-9.0,138.0,-28.0,-12.0,-1.0
583,Ontario,Toronto Division,Greater Toronto Area,-53.0,-48.0,67.0,-71.0,-81.0,21.0
584,Ontario,Toronto Division,Greater Toronto Area,-25.0,1.0,33.0,-53.0,-52.0,14.0
585,Ontario,Toronto Division,Greater Toronto Area,-27.0,-7.0,43.0,-53.0,-51.0,15.0
586,Ontario,Toronto Division,Greater Toronto Area,-25.0,-3.0,60.0,-51.0,-49.0,15.0
587,Ontario,Toronto Division,Greater Toronto Area,-26.0,-7.0,68.0,-48.0,-48.0,14.0
588,Ontario,Toronto Division,Greater Toronto Area,-22.0,-6.0,125.0,-30.0,-6.0,3.0
589,Ontario,Toronto Division,Greater Toronto Area,-23.0,-10.0,85.0,-34.0,-10.0,3.0
590,Ontario,Toronto Division,Greater Toronto Area,-26.0,-7.0,57.0,-53.0,-48.0,15.0
591,Ontario,Toronto Division,Greater Toronto Area,-25.0,-6.0,63.0,-52.0,-48.0,15.0
592,Ontario,Toronto Division,Greater Toronto Area,-26.0,-10.0,74.0,-51.0,-49.0,15.0
593,Ontario,Toronto Division,Greater Toronto Area,-27.0,-5.0,60.0,-51.0,-48.0,15.0
594,Ontario,Toronto Division,Greater Toronto Area,-28.0,-9.0,46.0,-49.0,-47.0,14.0
595,Ontario,Toronto Division,Greater Toronto Area,-24.0,-7.0,92.0,-33.0,-7.0,4.0
596,Ontario,Toronto Division,Greater Toronto Area,-23.0,-9.0,99.0,-34.0,-9.0,3.0
597,Ontario,Toronto Division,Greater Toronto Area,-29.0,-9.0,55.0,-53.0,-49.0,15.0
598,Ontario,Toronto Division,Greater Toronto Area,-29.0,-7.0,59.0,-52.0,-49.0,15.0
599,Ontario,Toronto Division,Greater Toronto Area,-29.0,-9.0,68.0,-52.0,-48.0,15.0
600,Ontario,Toronto Division,Greater Toronto Area,-30.0,-6.0,37.0,-52.0,-47.0,16.0
601,Ontario,Toronto Division,Greater Toronto Area,-30.0,-7.0,61.0,-49.0,-46.0,14.0
602,Ontario,Toronto Division,Greater Toronto Area,-25.0,-6.0,115.0,-32.0,-4.0,3.0
603,Ontario,Toronto Division,Greater Toronto Area,-25.0,-8.0,108.0,-34.0,-7.0,2.0
604,Ontario,Toronto Division,Greater Toronto Area,-32.0,-8.0,50.0,-54.0,-48.0,15.0
605,Ontario,Toronto Division,Greater Toronto Area,-31.0,-6.0,33.0,-53.0,-48.0,15.0
606,Ontario,Toronto Division,Greater Toronto Area,-32.0,-9.0,0.0,-54.0,-48.0,17.0
607,Ontario,Toronto Division,Greater Toronto Area,-29.0,-1.0,32.0,-53.0,-45.0,16.0
608,Ontario,Toronto Division,Greater Toronto Area,-33.0,-8.0,14.0,-51.0,-45.0,16.0
609,Ontario,Toronto Division,Greater Toronto Area,-28.0,-7.0,66.0,-36.0,-7.0,6.0
610,Ontario,Toronto Division,Greater Toronto Area,-33.0,-12.0,-12.0,-43.0,-14.0,6.0
611,Ontario,Toronto Division,Greater Toronto Area,-32.0,-5.0,36.0,-54.0,-47.0,16.0
612,Ontario,Toronto Division,Greater Toronto Area,-33.0,-6.0,39.0,-53.0,-47.0,15.0
613,Ontario,Toronto Division,Greater Toronto Area,-34.0,-9.0,12.0,-55.0,-47.0,17.0
614,Ontario,Toronto Division,Greater Toronto Area,-33.0,-3.0,14.0,-53.0,-46.0,17.0
615,Ontario,Toronto Division,Greater Toronto Area,-31.0,1.0,40.0,-50.0,-45.0,15.0
616,Ontario,Toronto Division,Greater Toronto Area,-35.0,-4.0,68.0,-39.0,-9.0,5.0
617,Ontario,Toronto Division,Greater Toronto Area,-34.0,-5.0,48.0,-40.0,-12.0,3.0
618,Ontario,Toronto Division,Greater Toronto Area,-66.0,-54.0,52.0,-75.0,-82.0,24.0
619,Ontario,Toronto Division,Greater Toronto Area,-36.0,-2.0,51.0,-53.0,-49.0,16.0
620,Ontario,Toronto Division,Greater Toronto Area,-36.0,-8.0,36.0,-54.0,-47.0,17.0
621,Ontario,Toronto Division,Greater Toronto Area,-41.0,-13.0,-30.0,-56.0,-48.0,20.0
622,Ontario,Toronto Division,Greater Toronto Area,-36.0,-5.0,32.0,-51.0,-45.0,17.0
623,Ontario,Toronto Division,Greater Toronto Area,-31.0,-5.0,91.0,-37.0,-8.0,6.0
624,Ontario,Toronto Division,Greater Toronto Area,-35.0,-12.0,39.0,-42.0,-15.0,7.0
625,Ontario,Toronto Division,Greater Toronto Area,-40.0,-13.0,-18.0,-57.0,-49.0,18.0
626,Ontario,Toronto Division,Greater Toronto Area,-36.0,-7.0,25.0,-54.0,-48.0,17.0
627,Ontario,Toronto Division,Greater Toronto Area,-38.0,-12.0,12.0,-55.0,-48.0,19.0
628,Ontario,Toronto Division,Greater Toronto Area,-38.0,-7.0,5.0,-54.0,-46.0,19.0
629,Ontario,Toronto Division,Greater Toronto Area,-35.0,-8.0,69.0,-50.0,-45.0,16.0
630,Ontario,Toronto Division,Greater Toronto Area,-33.0,-5.0,49.0,-38.0,-9.0,7.0
631,Ontario,Toronto Division,Greater Toronto Area,-34.0,-11.0,30.0,-41.0,-15.0,6.0
632,Ontario,Toronto Division,Greater Toronto Area,-39.0,-11.0,0.0,-56.0,-48.0,17.0
633,Ontario,Toronto Division,Greater Toronto Area,-41.0,-14.0,-18.0,-56.0,-48.0,18.0
634,Ontario,Toronto Division,Greater Toronto Area,-34.0,-6.0,25.0,-54.0,-46.0,17.0
635,Ontario,Toronto Division,Greater Toronto Area,-37.0,-7.0,-8.0,-55.0,-46.0,18.0
636,Ontario,Toronto Division,Greater Toronto Area,-37.0,-6.0,-10.0,-53.0,-45.0,17.0
637,Ontario,Toronto Division,Greater Toronto Area,-31.0,-2.0,47.0,-36.0,-8.0,6.0
638,Ontario,Toronto Division,Greater Toronto Area,-38.0,-12.0,-23.0,-45.0,-17.0,7.0
639,Ontario,Toronto Division,Greater Toronto Area,-39.0,-13.0,-23.0,-57.0,-48.0,18.0
640,Ontario,Toronto Division,Greater Toronto Area,-39.0,-10.0,-8.0,-55.0,-47.0,17.0
641,Ontario,Toronto Division,Greater Toronto Area,-36.0,-11.0,34.0,-54.0,-47.0,18.0
642,Ontario,Toronto Division,Greater Toronto Area,-36.0,-8.0,25.0,-54.0,-45.0,18.0
643,Ontario,Toronto Division,Greater Toronto Area,-35.0,-8.0,46.0,-51.0,-44.0,17.0
644,Ontario,Toronto Division,Greater Toronto Area,-29.0,-6.0,112.0,-33.0,-7.0,6.0
645,Ontario,Toronto Division,Greater Toronto Area,-28.0,-8.0,115.0,-36.0,-11.0,4.0
646,Ontario,Toronto Division,Greater Toronto Area,-36.0,-10.0,45.0,-55.0,-47.0,17.0
647,Ontario,Toronto Division,Greater Toronto Area,-34.0,-7.0,63.0,-53.0,-46.0,16.0
648,Ontario,Toronto Division,Greater Toronto Area,-35.0,-9.0,25.0,-56.0,-48.0,18.0
649,Ontario,Toronto Division,Greater Toronto Area,-37.0,-6.0,11.0,-55.0,-45.0,18.0
650,Ontario,Toronto Division,Greater Toronto Area,-38.0,-8.0,-4.0,-53.0,-45.0,18.0
651,Ontario,Toronto Division,Greater Toronto Area,-33.0,-5.0,43.0,-41.0,-10.0,8.0
652,Ontario,Toronto Division,Greater Toronto Area,-44.0,-22.0,-40.0,-51.0,-19.0,9.0
653,Ontario,Toronto Division,Greater Toronto Area,-40.0,-14.0,-23.0,-59.0,-48.0,18.0
654,Ontario,Toronto Division,Greater Toronto Area,-41.0,-13.0,-22.0,-58.0,-48.0,18.0
655,Ontario,Toronto Division,Greater Toronto Area,-41.0,-15.0,-23.0,-59.0,-48.0,19.0
656,Ontario,Toronto Division,Greater Toronto Area,-37.0,-8.0,3.0,-57.0,-46.0,19.0
657,Ontario,Toronto Division,Greater Toronto Area,-34.0,-5.0,33.0,-54.0,-47.0,18.0
658,Ontario,Toronto Division,Greater Toronto Area,-30.0,-2.0,11.0,-41.0,-8.0,8.0
659,Ontario,Toronto Division,Greater Toronto Area,-42.0,-23.0,-34.0,-49.0,-17.0,9.0
660,Ontario,Toronto Division,Greater Toronto Area,-51.0,-21.0,-28.0,-62.0,-50.0,20.0
661,Ontario,Toronto Division,Greater Toronto Area,-49.0,-18.0,-25.0,-62.0,-50.0,20.0
662,Ontario,Toronto Division,Greater Toronto Area,-49.0,-21.0,-30.0,-62.0,-49.0,21.0
663,Ontario,Toronto Division,Greater Toronto Area,-44.0,-10.0,-9.0,-60.0,-48.0,20.0
664,Ontario,Toronto Division,Greater Toronto Area,-45.0,-14.0,-8.0,-59.0,-47.0,20.0
665,Ontario,Toronto Division,Greater Toronto Area,-43.0,-11.0,34.0,-49.0,-14.0,10.0
666,Ontario,Toronto Division,Greater Toronto Area,-43.0,-15.0,42.0,-50.0,-19.0,8.0
667,Ontario,Toronto Division,Greater Toronto Area,-48.0,-24.0,-49.0,-63.0,-50.0,20.0
668,Ontario,Toronto Division,Greater Toronto Area,-51.0,-20.0,-28.0,-61.0,-51.0,21.0
669,Ontario,Toronto Division,Greater Toronto Area,-46.0,-13.0,-16.0,-60.0,-49.0,20.0
670,Ontario,Toronto Division,Greater Toronto Area,-45.0,-10.0,-13.0,-59.0,-48.0,20.0
671,Ontario,Toronto Division,Greater Toronto Area,-49.0,-18.0,-30.0,-60.0,-48.0,21.0
672,Ontario,Toronto Division,Greater Toronto Area,-45.0,-10.0,4.0,-49.0,-15.0,10.0
673,Ontario,Toronto Division,Greater Toronto Area,-47.0,-16.0,9.0,-52.0,-21.0,8.0
674,Ontario,Toronto Division,Greater Toronto Area,-48.0,-17.0,-23.0,-62.0,-49.0,19.0
675,Ontario,Toronto Division,Greater Toronto Area,-47.0,-15.0,-14.0,-61.0,-49.0,19.0
676,Ontario,Toronto Division,Greater Toronto Area,-50.0,-21.0,-29.0,-62.0,-50.0,21.0
677,Ontario,Toronto Division,Greater Toronto Area,-46.0,-10.0,-13.0,-60.0,-48.0,20.0
678,Ontario,Toronto Division,Greater Toronto Area,-45.0,-11.0,4.0,-58.0,-47.0,20.0
679,Ontario,Toronto Division,Greater Toronto Area,-50.0,-18.0,-33.0,-55.0,-18.0,12.0
680,Ontario,Toronto Division,Greater Toronto Area,-46.0,-14.0,2.0,-52.0,-20.0,8.0
681,Ontario,Toronto Division,Greater Toronto Area,-47.0,-14.0,-23.0,-62.0,-50.0,19.0
682,Ontario,Toronto Division,Greater Toronto Area,-46.0,-12.0,-22.0,-61.0,-50.0,19.0
683,Ontario,Toronto Division,Greater Toronto Area,-49.0,-20.0,-42.0,-64.0,-50.0,21.0
684,Ontario,Toronto Division,Greater Toronto Area,-45.0,-8.0,-21.0,-60.0,-49.0,21.0
685,Ontario,Toronto Division,Greater Toronto Area,-45.0,-10.0,-12.0,-59.0,-48.0,20.0
686,Ontario,Toronto Division,Greater Toronto Area,-46.0,-10.0,-6.0,-51.0,-16.0,11.0
687,Ontario,Toronto Division,Greater Toronto Area,-45.0,-14.0,-5.0,-52.0,-20.0,9.0
688,Ontario,Toronto Division,Greater Toronto Area,-39.0,-1.0,-4.0,-62.0,-54.0,19.0
689,Ontario,Toronto Division,Greater Toronto Area,-37.0,7.0,-6.0,-61.0,-55.0,18.0
690,Ontario,Toronto Division,Greater Toronto Area,-32.0,19.0,1.0,-60.0,-55.0,18.0
691,Ontario,Toronto Division,Greater Toronto Area,-40.0,16.0,-30.0,-67.0,-67.0,23.0
692,Ontario,Toronto Division,Greater Toronto Area,-84.0,-74.0,-2.0,-84.0,-86.0,32.0
693,Ontario,Toronto Division,Greater Toronto Area,-68.0,-44.0,-1.0,-67.0,-43.0,15.0
694,Ontario,Toronto Division,Greater Toronto Area,-56.0,-29.0,12.0,-60.0,-27.0,10.0
695,Ontario,Toronto Division,Greater Toronto Area,-52.0,-16.0,-15.0,-75.0,-74.0,27.0
696,Ontario,Toronto Division,Greater Toronto Area,-47.0,-8.0,5.0,-68.0,-64.0,23.0
697,Ontario,Toronto Division,Greater Toronto Area,-47.0,-6.0,-33.0,-69.0,-64.0,25.0
698,Ontario,Toronto Division,Greater Toronto Area,-41.0,11.0,5.0,-68.0,-67.0,25.0
699,Ontario,Toronto Division,Greater Toronto Area,-80.0,-71.0,-4.0,-84.0,-86.0,34.0
700,Ontario,Toronto Division,Greater Toronto Area,-58.0,-23.0,14.0,-62.0,-32.0,15.0
701,Ontario,Toronto Division,Greater Toronto Area,-58.0,-27.0,-9.0,-61.0,-27.0,12.0
702,Ontario,Toronto Division,Greater Toronto Area,-53.0,-18.0,-22.0,-66.0,-55.0,22.0
703,Ontario,Toronto Division,Greater Toronto Area,-53.0,-17.0,-21.0,-66.0,-55.0,22.0
704,Ontario,Toronto Division,Greater Toronto Area,-54.0,-21.0,-23.0,-67.0,-55.0,23.0
705,Ontario,Toronto Division,Greater Toronto Area,-53.0,-15.0,-12.0,-66.0,-54.0,24.0
706,Ontario,Toronto Division,Greater Toronto Area,-55.0,-20.0,-19.0,-66.0,-53.0,24.0
707,Ontario,Toronto Division,Greater Toronto Area,-51.0,-14.0,28.0,-57.0,-20.0,13.0
708,Ontario,Toronto Division,Greater Toronto Area,-54.0,-21.0,6.0,-60.0,-25.0,11.0
709,Ontario,Toronto Division,Greater Toronto Area,-55.0,-22.0,-25.0,-68.0,-55.0,22.0
710,Ontario,Toronto Division,Greater Toronto Area,-55.0,-20.0,-27.0,-68.0,-55.0,22.0
711,Ontario,Toronto Division,Greater Toronto Area,-53.0,-18.0,-23.0,-68.0,-55.0,22.0
712,Ontario,Toronto Division,Greater Toronto Area,-61.0,-27.0,-25.0,-70.0,-57.0,25.0
713,Ontario,Toronto Division,Greater Toronto Area,-60.0,-29.0,-32.0,-70.0,-57.0,25.0
714,Ontario,Toronto Division,Greater Toronto Area,-57.0,-21.0,22.0,-63.0,-26.0,14.0
715,Ontario,Toronto Division,Greater Toronto Area,-59.0,-28.0,0.0,-64.0,-30.0,12.0
716,Ontario,Toronto Division,Greater Toronto Area,-59.0,-28.0,-22.0,-70.0,-58.0,23.0
717,Ontario,Toronto Division,Greater Toronto Area,-59.0,-27.0,-27.0,-70.0,-58.0,23.0
718,Ontario,Toronto Division,Greater Toronto Area,-59.0,-30.0,-34.0,-71.0,-58.0,25.0
719,Ontario,Toronto Division,Greater Toronto Area,-57.0,-22.0,-21.0,-70.0,-56.0,24.0
720,Ontario,Toronto Division,Greater Toronto Area,-58.0,-25.0,-33.0,-69.0,-56.0,25.0
721,Ontario,Toronto Division,Greater Toronto Area,-55.0,-19.0,-2.0,-62.0,-25.0,14.0
722,Ontario,Toronto Division,Greater Toronto Area,-58.0,-26.0,-6.0,-64.0,-29.0,11.0
723,Ontario,Toronto Division,Greater Toronto Area,-57.0,-24.0,-12.0,-70.0,-57.0,23.0
724,Ontario,Toronto Division,Greater Toronto Area,-66.0,-41.0,-37.0,-71.0,-59.0,25.0
725,Ontario,Toronto Division,Greater Toronto Area,-57.0,-24.0,-22.0,-69.0,-57.0,24.0
726,Ontario,Toronto Division,Greater Toronto Area,-58.0,-25.0,-38.0,-70.0,-56.0,25.0
727,Ontario,Toronto Division,Greater Toronto Area,-57.0,-24.0,-38.0,-69.0,-56.0,25.0
728,Ontario,Toronto Division,Greater Toronto Area,-53.0,-15.0,20.0,-61.0,-23.0,13.0
729,Ontario,Toronto Division,Greater Toronto Area,-57.0,-25.0,-17.0,-64.0,-28.0,11.0
730,Ontario,Toronto Division,Greater Toronto Area,-57.0,-25.0,-32.0,-70.0,-57.0,23.0
731,Ontario,Toronto Division,Greater Toronto Area,-57.0,-24.0,-29.0,-70.0,-57.0,23.0
732,Ontario,Toronto Division,Greater Toronto Area,-56.0,-24.0,-17.0,-70.0,-56.0,23.0
733,Ontario,Toronto Division,Greater Toronto Area,-54.0,-17.0,-2.0,-69.0,-55.0,23.0
734,Ontario,Toronto Division,Greater Toronto Area,-58.0,-27.0,-42.0,-70.0,-55.0,25.0
735,Ontario,Toronto Division,Greater Toronto Area,-55.0,-19.0,-22.0,-63.0,-23.0,14.0
736,Ontario,Toronto Division,Greater Toronto Area,-56.0,-25.0,-10.0,-63.0,-27.0,11.0
737,Ontario,Toronto Division,Greater Toronto Area,-58.0,-27.0,-34.0,-70.0,-57.0,23.0
738,Ontario,Toronto Division,Greater Toronto Area,-56.0,-23.0,-24.0,-69.0,-56.0,23.0
739,Ontario,Toronto Division,Greater Toronto Area,-56.0,-23.0,-30.0,-70.0,-56.0,24.0
740,Ontario,Toronto Division,Greater Toronto Area,-53.0,-16.0,-25.0,-69.0,-55.0,23.0
741,Ontario,Toronto Division,Greater Toronto Area,-55.0,-20.0,-36.0,-69.0,-55.0,24.0
742,Ontario,Toronto Division,Greater Toronto Area,-54.0,-14.0,-28.0,-63.0,-24.0,13.0
743,Ontario,Toronto Division,Greater Toronto Area,-45.0,-8.0,32.0,-58.0,-23.0,9.0
744,Ontario,Toronto Division,Greater Toronto Area,-71.0,-53.0,3.0,-82.0,-82.0,30.0
745,Ontario,Toronto Division,Greater Toronto Area,-60.0,-24.0,-38.0,-68.0,-57.0,23.0
746,Ontario,Toronto Division,Greater Toronto Area,-53.0,-16.0,-24.0,-66.0,-52.0,22.0
747,Ontario,Toronto Division,Greater Toronto Area,-57.0,-21.0,-35.0,-67.0,-52.0,23.0
748,Ontario,Toronto Division,Greater Toronto Area,-56.0,-22.0,-26.0,-65.0,-51.0,23.0
749,Ontario,Toronto Division,Greater Toronto Area,-51.0,-13.0,21.0,-59.0,-19.0,12.0
750,Ontario,Toronto Division,Greater Toronto Area,-51.0,-17.0,30.0,-60.0,-22.0,10.0
751,Ontario,Toronto Division,Greater Toronto Area,-58.0,-28.0,-37.0,-67.0,-54.0,22.0
752,Ontario,Toronto Division,Greater Toronto Area,-53.0,-18.0,-24.0,-66.0,-52.0,21.0
753,Ontario,Toronto Division,Greater Toronto Area,-53.0,-20.0,-20.0,-66.0,-52.0,22.0
754,Ontario,Toronto Division,Greater Toronto Area,-52.0,-15.0,-11.0,-65.0,-51.0,22.0
755,Ontario,Toronto Division,Greater Toronto Area,-50.0,-14.0,-6.0,-63.0,-49.0,21.0
